Aileron,B,C,D,E,F
3,71.11,17,109.09,33.0896,31.9543
20,207.52,31,235.03,10.6985,13.2115
22,223.18,31,235.49,21.142,22.672
2,63.09,9,37.36,-82.2881,-49.4436
2,63.17,14,82.05,38.1357,25.7229
38,351.06,4,-7.59,-23.8464,-38.1621
6,95.41,3,-16.48,-4.22525,-7.94652
37,343.05,39,307.07,0,0
6,95.04,12,64.47,3.85894,13.4577
13,151.08,9,68.02,-6.83695,-19.8559
0,47.53,16,100.47,-40.7961,-16.4827
29,279.01,15,91,-61.2367,-9.69893
9,119.47,2,-25.65,25.364,14.0595
13,151.2,24,172.33,0.927184,0.374606
8,111.29,16,100.23,-19.0042,-62.1598
32,302.98,17,109.35,36.7696,36.7695
15,167.13,0,-43.68,2.24765,5.5631
13,151.13,12,64.4,14.3332,49.9856
21,215.53,31,235.22,3.58369,9.3358
1,55.1,37,289.13,33.7677,51.9975
37,343.56,20,136.12,20.6034,50.9951
25,247.51,26,190.01,-6.53506,-2.50857
0,47.36,1,-34.88,-57.4878,-13.2721
3,71.5,33,253.54,33.287,10.8156
31,295.29,1,-34.56,47.2708,8.33511
31,295.03,29,217.13,8.76933,2.02456
10,127.46,1,-34.52,63.636,75.8383
35,326.99,23,163.34,25.7024,26.6156
36,335.01,21,145.45,30.3996,43.415
39,390,1,-34.93,-0.992546,-0.121869
28,271.18,5,1.18,33.1286,7.64833
7,103.41,7,19.31,109.633,17.3642
17,183.43,29,217.03,33.9906,22.9269
29,279.18,25,181.43,41.3465,15.0489
3,71.27,28,208.21,-16.0869,-13.4985
14,159.46,25,181.03,74.2357,27.0196
31,295.46,6,10.56,-93.1484,-23.2245
19,199.28,27,199.17,35.7393,9.5763
26,255.2,25,180.97,-10.0343,-26.1402
5,87.1,29,217.28,84.6935,14.9337
9,119.42,18,118.25,14.3263,46.8589
12,143.21,30,226.38,-83.9635,-46.5417
26,255.16,36,280.31,-36.9015,-23.9641
17,183.01,0,-43.58,-45.4299,-27.297
30,287.37,8,28.17,-49.7157,-29.8722
16,175.11,8,27.97,-25.8626,-35.5967
25,247.02,29,217.01,6.15113,9.11941
20,207.4,28,208.32,-34.4639,-85.3009
11,135.4,30,225.98,-94.2037,-27.0124
